price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
93900,42,-34.588369,-58.483862,Parque Chas
140000,90,-34.60371374,-58.38158089,San Nicolás
78800,46,-34.620195,-58.40405,San Cristobal
95000,41,-34.6039994,-58.4557835,Villa Crespo
155000,84,-34.6121896,-58.4779525,Villa del Parque
68000,36,-34.6160275,-58.4673425,Flores
145000,75,,,Villa Luro
98000,52,-34.637834,-58.503098,Villa Luro
94500,39,-34.573723,-58.489966,Villa Urquiza
67600,35,-34.61849621,-58.40644971,San Cristobal
195000,63,-34.5660741,-58.4372368,Belgrano
77000,38,-34.61490426,-58.39811358,Balvanera
298000,94,-34.5720545,-58.4745649,Villa Urquiza
85000,59,-34.6226764,-58.3898616,Constitución
109000,37,-34.62818,-58.429483,Caballito
133000,75,-34.60740477,-58.39078232,Congreso
72000,31,-34.6374837,-58.4601452,Flores
93327.01,35,-34.6266172,-58.4599658,Flores
63000,37,-34.633464,-58.368463,Barracas
87000,42,-34.647382,-58.4772734,Parque Avellaneda
64651.88,36,-34.55826,-58.478587,Coghlan
195000,77,-34.5999764,-58.4037104,Balvanera
260000,60,,,Colegiales
169500,67,-34.5780621,-58.4952915,Villa Urquiza
129000,90,-34.6135876,-58.4107896,Once
119000,32,-34.5528589,-58.4702918,Nuñez
88000,31,-34.5435062,-58.4821436,Saavedra
100306,66,-34.54688946,-58.47861231,Saavedra
97000,37,-34.556809,-58.457834,Belgrano
86000,35,-34.6070921,-58.4306168,Villa Crespo
90000,32,-34.5856221,-58.4409353,Palermo
112677,34,-34.5777784,-58.4351583,Palermo
145000,45,-34.58171763,-58.4486237,Palermo
150000,75,-34.601282,-58.418141,Almagro
210000,80,-34.6205971,-58.4608572,Flores
100000,58,-34.627625,-58.360648,Boca
76000,34,-34.6177615,-58.383662,Monserrat
95568,40,-34.60371374,-58.38158089,Villa del Parque
175000,70,-34.621321,-58.3982505,San Cristobal
94000,41,-34.636179,-58.439476,Caballito
195000,87,-34.578362,-58.449633,Colegiales
145000,49,-34.60855046,-58.45065257,Caballito
159000,95,-34.602153,-58.412067,San Telmo
120000,42,-34.566885,-58.451021,Belgrano
350000,100,-34.561966,-58.46373,Belgrano
84500,36,-34.60808733,-58.43089266,Parque Centenario
115000,63,-34.60007471,-58.40323612,Once
73800,31,-34.617228,-58.457265,Caballito
130000,40,-34.603438,-58.4364402,Villa Crespo
110000,38,-34.57710947,-58.4456268,Colegiales
132000,56,-34.602623,-58.440056,Villa Crespo
169000,41,-34.5848012,-58.4115472,Palermo
189000,69,-34.5917085,-58.3969821,Recoleta
78000,41,-34.622681,-58.395551,San Cristobal
138000,66,-34.601017,-58.4313746,Almagro
90000,67,-34.622512,-58.388768,San Cristobal
62000,40,-34.6108831,-58.4003678,Balvanera
157000,33,-34.55964464,-58.45434986,Belgrano
138000,74,-34.6038236,-58.4272911,Parque Centenario
84000,47,,,
88000,48,-34.6042164,-58.4351228,Parque Centenario
140000,65,-34.6307325,-58.4815962,Floresta
198000,90,-34.554161,-58.4905798,Saavedra
61770,35,-34.6186349,-58.478887,Flores
92000,58,-34.6507766,-58.5155958,Liniers
104310.53,32,-34.56822,-58.458337,Belgrano
157000,57,-34.62233989,-58.40853223,San Cristobal
91606,40,-34.629478,-58.45214,Caballito
85000,85,-34.6833842,-58.4750427,Villa Lugano
145000,80,-34.6063946,-58.4632121,Caballito
120000,50,-34.6045779,-58.4231909,Almagro
275000,89,-34.5706322,-58.4314264,Nuñez
75000,42,-34.58378459,-58.45538287,Chacarita
99500,63,-34.6087786,-58.430114,Caballito
53000,35,-34.6144978,-58.38456,Monserrat
65000,42,-34.6119155,-58.411536,Balvanera
